city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Nicosia,35.1725,33.3650,Cyprus,CY,Lefkosía,primary,330000,330000
Limassol,34.6747,33.0442,Cyprus,CY,Lemesós,admin,235056,235056
Larnaca,34.9167,33.6333,Cyprus,CY,Lárnaka,admin,84900,51468
Paphos,34.7667,32.4167,Cyprus,CY,Páfos,admin,63600,31738
Famagusta,35.1250,33.9417,Cyprus,CY,Ammóchostos,admin,40920,40920
Kyrenia,35.3403,33.3192,Cyprus,CY,Kerýneia,admin,33207,33207
Káto Polemídia,34.6931,32.9992,Cyprus,CY,Lemesós,,22369,22369
Aradíppou,34.9528,33.5900,Cyprus,CY,Lárnaka,,19199,19199
Latsia,35.1000,33.3667,Cyprus,CY,Lefkosía,,16774,16774
Paralímni,35.0333,33.9833,Cyprus,CY,Ammóchostos,,14963,14963
Ágios Athanásios,34.7086,33.0503,Cyprus,CY,Lemesós,,14578,14578
Mésa Geitoniá,34.7022,33.0453,Cyprus,CY,Lemesós,,14477,14477
Germasógeia,34.7181,33.0856,Cyprus,CY,Lemesós,,13421,13421
Dáli,35.0211,33.4200,Cyprus,CY,Lefkosía,,10466,10466
Géri,35.1069,33.4214,Cyprus,CY,Lefkosía,,8235,8235
Geroskípou,34.7667,32.4667,Cyprus,CY,Páfos,,7878,7878
Livádia,34.9494,33.6311,Cyprus,CY,Lárnaka,,7177,7177
Tséri,35.0669,33.3167,Cyprus,CY,Lefkosía,,7035,7035
Xylofágou,34.9750,33.8517,Cyprus,CY,Lárnaka,,6231,6231
Voróklini,34.9828,33.6544,Cyprus,CY,Lárnaka,,6134,6134
Derýneia,35.0556,33.9569,Cyprus,CY,Ammóchostos,,5844,5844
Sotíra,35.0267,33.9503,Cyprus,CY,Ammóchostos,,5474,5474
Dromolaxiá,34.8833,33.5833,Cyprus,CY,Lárnaka,,5064,5064
Athíenou,35.0667,33.5333,Cyprus,CY,Lárnaka,,4996,4996
Chlórakas,34.8011,32.4086,Cyprus,CY,Páfos,,4420,4420
Frénaros,35.0408,33.9192,Cyprus,CY,Ammóchostos,,4298,4298
Kíti,34.8472,33.5719,Cyprus,CY,Lárnaka,,4252,4252
Miá Miliá,35.2049,33.4215,Cyprus,CY,Lefkosía,,4204,4204
Ormídeia,34.9925,33.7803,Cyprus,CY,Lárnaka,,4189,4189
Pégeia,34.8833,32.3833,Cyprus,CY,Páfos,,3953,3953
Episkopí,34.6708,32.9019,Cyprus,CY,Lemesós,,3681,3681
Xylotýmvou,35.0167,33.7500,Cyprus,CY,Lárnaka,,3655,3655
Áskeia,35.1592,33.6100,Cyprus,CY,Ammóchostos,,3561,3561
Káto Zódeia,35.1678,33.0072,Cyprus,CY,Lefkosía,,3317,3317
Agía Nápa,34.9800,34.0000,Cyprus,CY,Ammóchostos,,3212,3212
Páno Defterá,35.0806,33.2661,Cyprus,CY,Lefkosía,,2789,2789
Gerólakkos,35.1833,33.2500,Cyprus,CY,Lefkosía,,2777,2777
Pýla,35.0139,33.6925,Cyprus,CY,Lárnaka,,2771,2771
Akáki,35.1333,33.1292,Cyprus,CY,Lefkosía,,2675,2675
Égkomi,35.1583,33.8911,Cyprus,CY,Lárnaka,,2645,2645
Lythrodóntas,34.9497,33.2961,Cyprus,CY,Lefkosía,,2628,2628
